    [1126.8338623   676.39044189]
    [1144.52001953  643.20751953]
    [1182.17993164  572.55010986]
    [1213.40014648  624.67486572]
    [1301.16760254  964.32318115]
    [1315.296875   1443.50878906]
    [1325.48120117 1852.81616211]
    [1338.87976074 2129.08276367]
    [1143.06970215  954.67047119]
    [1150.60144043 1417.80456543]
    [1160.87158203 1813.82055664]
    [1154.47875977 2075.44189453]
    [1212.05871582  526.68127441]
    [1214.50146484  493.30447388]
    [1242.41455078  474.54278564]
    [1292.66931152  500.75308228]
    [1203.43823242  474.3727417 ]
    [1186.56298828  499.11123657]
    [1324.90673828 1904.86877441]
    [1166.00939941 1865.58227539]
    [1222.92736816  956.8236084 ]
    [1220.21057129  843.53735352]
    [1218.60168457  734.56152344]
    [1217.05212402  629.59759521]
    [1246.05334473  628.73486328]
    [1350.90917969  627.64007568]
    [1415.57006836  831.74926758]
    [1267.17199707  717.29071045]
    [1235.07214355  692.5322876 ]
    [1168.18164062  640.94006348]
    [1160.65222168  688.77252197]
    [1188.47399902  629.33605957]
    [1092.05688477  630.3427124 ]
    [1032.2590332   818.45330811]
    [956.7074585  675.42211914]
    [939.88769531 643.57971191]
    [904.27093506 576.15148926]
    [960.418396   616.16784668]
    [1304.38439941  961.96636963]
    [1320.53015137 1446.54772949]
    [1334.37451172 1854.72619629]
    [1343.02099609 2130.68554688]
    [1144.5748291   951.87683105]
    [1153.2142334  1416.76245117]
    [1167.27416992 1811.11547852]
    [1156.3223877  2070.50463867]
    [1207.58239746  525.97314453]
    [1208.72509766  492.72390747]
    [1235.49719238  473.15332031]
    [1285.73425293  497.50674438]
    [1196.65441895  474.34796143]
    [1180.00671387  499.62322998]
    [1336.31420898 1905.87854004]
    [1174.94055176 1862.63500977]
    [1222.18994141  956.56817627]
    [1219.96765137  843.50128174]
    [1218.04711914  734.90155029]
    [1216.20092773  630.50317383]
    [1245.11999512  629.81121826]
    [1348.88354492  629.32470703]
    [1412.75854492  832.72393799]
    [1459.69824219  691.70025635]
    [1470.68811035  658.6829834 ]
    [1494.65588379  586.67486572]
    [1425.3659668   633.04187012]
    [1187.59997559  630.08093262]
    [1090.31848145  630.53704834]
    [1028.81213379  816.01849365]
    [925.38476562 674.93859863]
    [903.00457764 644.41088867]
    [856.35925293 580.78436279]
    [907.03515625 614.75012207]
    [1303.80529785  961.27923584]
    [1321.38806152 1445.78735352]
    [1333.33728027 1857.74389648]
    [1350.32067871 2137.24389648]
    [1143.04174805  951.99951172]
    [1152.47705078 1420.73278809]
    [1164.42651367 1820.55249023]
    [1160.74279785 2085.98925781]
    [1207.45007324  528.16290283]
